"x"
2
4
3
2
2
4
5
3
2
2
3
1
2
1
1
1
4
5
5
5
5
5
5
5
5
7
8
4
5
3
4
3
4
4
4
2
2
2
1
1
1
1
1
1
1
1
1
1
1
4
6
6
5
3
3
3
3
3
4
5
6
6
6
10
10
9
8
9
6
5
5
5
5
3
3
3
0
0
0
1
1
1
1
1
1
3
3
5
2
1
2
2
2
2
1
2
2
2
2
4
5
4
6
7
5
5
6
2
3
3
4
4
4
3
3
3
2
2
1
1
1
2
2
2
2
1
2
2
2
2
3
4
3
3
5
5
5
3
2
1
1
1
1
3
3
4
4
3
4
5
4
4
4
4
3
2
0
0
0
0
0
0
0
1
1
1
1
1
1
2
2
2
2
2
2
2
2
1
1
0
1
1
1
1
2
2
2
2
2
2
2
4
6
6
5
6
6
6
6
6
